417	72
135	136
135	197
135	194
136	338
338	72
72	430
412	44
412	7
44	199
199	197
199	286
199	411
199	198
197	268
197	196
244	243
244	479
243	0
243	252
0	7
0	278
7	107
309	362
309	308
362	253
253	252
429	220
429	427
429	231
429	45
220	195
195	194
194	296
70	61
70	300
61	99
99	107
358	104
104	100
100	308
467	219
467	289
219	273
273	296
261	39
261	245
261	237
261	57
39	38
38	427
109	108
109	122
108	250
108	122
108	218
250	245
250	111
250	122
448	295
448	357
295	68
295	257
68	479
336	62
336	406
336	302
62	121
121	237
223	394
223	431
223	116
394	212
212	289
344	345
344	233
345	400
345	83
400	406
377	111
196	286
196	327
286	203
306	190
306	319
190	148
190	189
148	300
366	392
366	63
392	374
374	231
375	191
191	267
191	356
267	189
236	235
236	177
235	357
465	315
465	124
465	125
315	36
36	45
291	290
291	226
290	147
147	63
166	84
84	66
66	177
340	178
178	20
20	226
210	155
155	47
47	302
276	174
174	432
432	356
466	288
288	77
77	431
410	15
15	390
390	203
390	469
390	205
402	192
192	213
213	319
272	263
263	201
201	257
452	59
59	403
403	124
434	494
494	430
198	278
369	303
303	118
118	125
399	370
370	371
371	57
205	233
485	154
154	165
165	116
347	101
101	134
134	83
396	395
395	416
416	327
327	241
74	48
48	160
160	241
