417	202
417	494
417	2
417	226
417	120
202	411
72	291
72	136
72	430
494	434
2	39
2	7
2	57
226	336
120	237
198	199
198	197
198	194
198	195
198	51
199	197
199	44
199	286
199	51
197	135
194	135
194	195
195	310
195	220
51	170
51	214
411	286
286	0
286	196
447	15
447	57
447	59
447	0
15	291
15	250
15	236
57	448
57	261
59	253
59	452
59	77
0	223
0	243
291	114
250	218
250	245
250	108
371	370
108	122
108	109
108	218
122	218
122	109
133	317
133	129
317	466
129	68
434	430
135	196
135	272
196	268
196	327
136	464
272	263
412	16
412	20
412	44
412	7
16	296
20	178
20	63
296	204
296	273
204	256
204	203
204	114
244	295
244	357
244	243
244	479
295	448
295	257
357	448
448	479
362	253
362	308
253	231
253	104
429	261
429	220
429	231
261	39
261	245
261	237
45	44
45	36
427	38
427	53
70	99
70	300
99	464
358	44
358	104
467	219
289	223
289	191
289	149
289	212
289	356
223	394
223	116
223	431
191	350
191	375
191	267
191	192
149	150
336	62
336	406
336	302
344	377
344	87
344	233
377	256
377	111
345	86
87	124
306	356
306	319
306	402
306	190
356	350
356	190
356	395
319	276
402	267
402	192
366	174
366	110
366	63
366	392
174	276
174	392
375	192
192	267
267	395
236	165
236	235
236	177
165	235
465	125
465	124
315	310
315	36
166	66
166	84
66	86
66	177
66	335
86	241
241	327
241	285
400	399
400	406
210	209
210	68
209	68
68	327
466	246
246	237
237	100
410	370
410	335
370	399
452	170
369	38
369	303
390	203
390	205
485	65
485	154
65	150
347	124
396	416
396	395
416	327
243	308
300	214
219	273
62	53
302	110
394	212
116	263
431	77
233	205
111	100
125	118
84	257
303	118
154	285
