417	202
417	317
417	2
417	291
417	434
417	494
202	411
202	0
317	133
317	336
317	466
72	220
72	136
72	430
2	107
291	114
434	430
434	494
198	197
199	166
199	416
199	197
199	51
199	44
199	219
197	84
166	84
286	65
416	396
0	447
0	223
447	15
447	57
447	52
15	250
15	412
15	127
15	204
15	124
15	136
15	114
15	410
15	390
57	410
57	261
57	399
223	116
108	250
108	109
108	218
122	218
122	109
218	250
250	399
250	52
250	115
250	111
399	469
412	44
127	467
204	344
124	465
133	68
133	115
68	244
68	261
68	448
68	452
68	58
68	210
68	288
336	406
466	288
135	272
135	136
135	194
272	195
244	243
244	479
261	174
261	220
448	479
452	59
309	473
309	243
473	220
220	429
429	44
429	353
429	45
44	190
44	18
44	227
44	45
44	315
44	369
353	465
70	107
70	300
190	306
190	191
18	340
227	369
467	219
467	289
174	366
174	276
344	377
344	296
344	116
377	186
377	111
296	194
296	195
186	210
306	402
306	214
306	132
402	267
191	375
191	356
191	267
366	110
276	132
465	315
340	178
469	390
65	485
485	154
396	395
51	52
51	214
84	154
52	58
58	243
58	59
214	300
115	116
111	110
243	406
289	356
110	20
20	178
356	395
