"","kld","degree_g1","degree_g2"
"70",0.478901199314364,5,4
"50",0.465024915957411,7,2
"33",0.443704668577258,6,2
"67",0.433943928700677,5,1
"74",0.413742218686425,6,3
"11",0.394363298654025,7,2
"76",0.390574138007881,6,1
"78",0.37995312290649,6,1
"21",0.359776014354602,5,3
"44",0.349725740089204,6,1
"2",0.348936486205821,5,4
"5",0.333628813240327,7,4
"10",0.330705622039649,8,1
"19",0.327990730985307,9,4
"91",0.32028400394463,9,1
"41",0.318663117471522,7,2
"68",0.315273222742958,7,4
"3",0.311857692950741,10,4
"83",0.310987844594589,7,5
"88",0.304818020115516,8,4
"24",0.304806511677733,9,1
"8",0.298553419472423,10,3
"13",0.295755985874604,8,1
"18",0.29215280134549,5,3
"92",0.290225814206586,8,2
"7",0.28973772175813,7,1
"98",0.287272196373017,11,2
"100",0.287182863100074,7,1
"14",0.282733894465573,8,2
"20",0.280749354578846,8,1
"51",0.275069105668477,4,2
"77",0.268036052808609,6,4
"62",0.266587853155809,6,2
"94",0.265562266455856,11,2
"96",0.259129995599472,14,3
"54",0.256317855238806,8,2
"52",0.252469223668381,5,2
"95",0.247634605373292,7,1
"90",0.236805204170936,7,3
"66",0.232305237293157,9,2
"80",0.225615134719509,7,5
"72",0.225055931089897,6,1
"87",0.220464215720677,4,1
"63",0.217865986936732,8,5
"71",0.217223941461053,5,1
"28",0.216845029678514,8,2
"89",0.215175799742936,6,1
"15",0.212060747945877,6,1
"65",0.211147898742304,8,2
"60",0.208978138885911,8,26
"39",0.206192423647139,9,1
"84",0.203992239668176,8,1
"97",0.201671432505805,10,2
"45",0.200036957653665,8,3
"1",0.19915569361111,9,3
"75",0.199004373142948,6,3
"58",0.198906891103663,9,4
"16",0.19878282646672,5,1
"64",0.194576201204928,5,2
"99",0.194527073928325,6,2
"32",0.191791790368669,4,1
"37",0.189814594858777,9,4
"81",0.189205495999834,9,2
"43",0.188025466446194,8,25
"36",0.180331115644671,6,1
"79",0.17968074784298,4,2
"48",0.176237152910216,7,3
"86",0.175364774896274,8,1
"25",0.173069276854971,5,1
"61",0.171096590508742,6,3
"73",0.168996733872203,6,1
"40",0.168663318463781,7,1
"47",0.168495810390372,6,4
"69",0.162304142224052,10,2
"6",0.162268103831323,7,1
"59",0.160570548881572,6,1
"38",0.158479855533853,4,3
"57",0.157755830819218,6,8
"4",0.155205302732001,7,2
"27",0.153353093913163,6,4
"82",0.153282411544235,10,2
"29",0.147127488486852,10,2
"85",0.146427975450927,11,1
"23",0.139461545033563,4,1
"49",0.138229954107076,13,2
"93",0.136838299133813,5,3
"53",0.134482637110566,9,1
"55",0.133105711022385,7,3
"34",0.123421583375179,5,2
"46",0.117084643197672,5,3
"9",0.113629057165438,16,4
"17",0.108117654224277,6,4
"35",0.104658515209548,6,2
"26",0.0985610188458793,14,1
"12",0.090023431876392,6,4
"42",0.0774931849951301,7,3
"22",0.0717486303466845,5,1
"31",0.0657823365000856,8,1
"56",0.0619858336993359,6,4
"30",0.0538829043332377,7,4
