"","kld","degree_g1","degree_g2"
"49",0.725310909184117,13,2
"51",0.62918961443665,4,2
"39",0.606349181653205,9,1
"26",0.586836402788756,14,1
"58",0.585028240498803,9,4
"92",0.550199398441031,8,2
"5",0.548751614687324,7,4
"74",0.548217432569126,6,3
"73",0.53773299261587,6,1
"32",0.526502708845051,4,1
"40",0.518719868510154,7,1
"38",0.518060278682906,4,3
"86",0.516122826011321,8,1
"94",0.51579768110204,11,2
"93",0.507190661174594,5,3
"55",0.504925003691656,7,3
"24",0.500547887215462,9,1
"35",0.488795372368973,6,2
"15",0.479881859195815,6,1
"18",0.47803983859279,5,3
"65",0.462667162016406,8,2
"36",0.460175899112559,6,1
"54",0.45320020189433,8,2
"10",0.434914794178228,8,1
"85",0.43158079169266,11,1
"97",0.431206404803156,10,2
"9",0.41902430010493,16,4
"13",0.41891258328042,8,1
"50",0.41482729302658,7,2
"91",0.404269211561249,9,1
"22",0.397914551485109,5,1
"68",0.396318420452686,7,4
"57",0.36061655861349,6,8
"1",0.356853950386011,9,3
"71",0.347937993890445,5,1
"83",0.344084762681767,7,5
"52",0.340461867266668,5,2
"19",0.338085108535662,9,4
"45",0.336114084085565,8,3
"16",0.331824999687927,5,1
"90",0.331180673808726,7,3
"98",0.322027607661562,11,2
"37",0.317507252653713,9,4
"62",0.314246654448997,6,2
"11",0.312888714175525,7,2
"59",0.309984037300641,6,1
"84",0.307765691999583,8,1
"30",0.303631684866062,7,4
"43",0.298569009665825,8,25
"69",0.291779745351219,10,2
"100",0.290733959609909,7,1
"23",0.290584077152136,4,1
"67",0.289213052086057,5,1
"80",0.286539359254772,7,5
"56",0.281234915443633,6,4
"29",0.279598537846975,10,2
"42",0.277312357242177,7,3
"64",0.276164244644354,5,2
"60",0.267058424261783,8,26
"48",0.264540554017522,7,3
"2",0.264434967763489,5,4
"61",0.260312861156116,6,3
"34",0.246841541773596,5,2
"12",0.243642379157325,6,4
"77",0.230147416117543,6,4
"14",0.228665297091363,8,2
"81",0.227931591482483,9,2
"27",0.225267882749933,6,4
"46",0.222957901614397,5,3
"88",0.221112057145371,8,4
"7",0.216223235665128,7,1
"87",0.209711830325219,4,1
"3",0.207925367180133,10,4
"63",0.204014640777699,8,5
"99",0.200809963325292,6,2
"25",0.199466931820186,5,1
"6",0.197249524800097,7,1
"95",0.18910369904768,7,1
"70",0.176254022872178,5,4
"20",0.174726398072021,8,1
"53",0.174611769028935,9,1
"44",0.174186902946936,6,1
"72",0.168001291552331,6,1
"21",0.166366591551008,5,3
"17",0.166172518682077,6,4
"33",0.165800647923689,6,2
"79",0.163037290288801,4,2
"76",0.157884731813738,6,1
"89",0.153082813604756,6,1
"96",0.140033934858118,14,3
"47",0.130343661032677,6,4
"78",0.128176178793478,6,1
"4",0.121355608565924,7,2
"66",0.119151657833407,9,2
"82",0.0920692823458802,10,2
"75",0.0849639657653393,6,3
"41",0.0847016268482855,7,2
"28",0.0781100830005235,8,2
"31",0.0510047155875582,8,1
"8",0.0474693974682266,10,3
